iw,6.9-1
java-common,0.76
javascript-common,12+nmu1
jq,1.8.1-3ubuntu1
juk,4:25.08.1-0ubuntu1
kaccounts-providers,4:25.08.1-0ubuntu1
kactivitymanagerd,6.4.5-0ubuntu1
kaddressbook,4:25.08.1-0ubuntu1
kaddressbook-data,4:25.08.1-0ubuntu1
kajongg,4:25.08.1-0ubuntu1
kalarm,4:25.08.1-0ubuntu1
kalendarac,4:25.08.1-0ubuntu1
kalgebra,4:25.08.1-0ubuntu1
kalgebra-common,4:25.08.1-0ubuntu1
kalzium,4:25.08.1-0ubuntu1
kalzium-data,4:25.08.1-0ubuntu1
kamera,4:25.08.1-0ubuntu1
kamoso,25.04.3-0ubuntu1
kanagram,4:25.08.1-0ubuntu1
kanjidic,2024.08.06
kapman,4:25.08.1-0ubuntu1
kapptemplate,4:25.08.1-0ubuntu1
kasts,25.08.1-0ubuntu2
kate,4:25.08.1-0ubuntu2
kate-data,4:25.08.1-0ubuntu2
katomic,4:25.08.1-0ubuntu1
kbd,2.7.1-2ubuntu1
kblackbox,4:25.08.1-0ubuntu1
kblocks,4:25.08.1-0ubuntu1
kbounce,4:25.08.1-0ubuntu1
kbreakout,4:25.08.1-0ubuntu1
kbruch,4:25.08.1-0ubuntu1
kcachegrind,4:25.08.1-0ubuntu1
kcalc,4:25.08.1-0ubuntu1
kcharselect,4:25.08.1-0ubuntu1
kde-baseapps,4:25.04.0+5.162ubuntu4
kde-cli-tools,4:6.4.5-0ubuntu2
kde-cli-tools-data,4:6.4.5-0ubuntu2
kde-config-cddb:amd64,4:25.08.1-0ubuntu1
kde-config-cron,4:25.08.1-0ubuntu1
kde-config-gtk-style:amd64,4:6.4.5-0ubuntu1
kde-config-screenlocker,6.4.5-0ubuntu1
kde-config-sddm,4:6.4.5-0ubuntu1
kde-inotify-survey,25.08.1-0ubuntu1
kde-plasma-desktop,5:162ubuntu4
kde-spectacle,4:6.4.5-0ubuntu2
kde-standard,5:162ubuntu4
kde-style-breeze,4:6.4.5-0ubuntu1
kde-style-breeze-data,4:6.4.5-0ubuntu1
kde-style-breeze-qt5,4:6.4.5-0ubuntu1
kde-style-oxygen-qt6,4:6.4.5-0ubuntu2
kdeaccessibility,4:25.04.0+5.162ubuntu4
kdeadmin,4:25.04.0+5.162ubuntu4
kdeconnect,25.08.1-0ubuntu2.1
kdeconnect-libs,25.08.1-0ubuntu2.1
kded5,5.116.0-1ubuntu1
kded6,6.17.0-0ubuntu1
kdeedu,4:25.04.0+5.162ubuntu4
kdeedu-data,4:25.08.1-0ubuntu1
kdeedu-kvtml-data,4:25.08.1-0ubuntu1
kdegames,4:25.04.0+5.162ubuntu4
kdegames-card-data,4:25.08.1-0ubuntu1
kdegames-mahjongg-data-kf6,4:25.08.1-0ubuntu1
kdegraphics-thumbnailers,4:25.08.1-0ubuntu1
kdemultimedia,4:25.04.0+5.162ubuntu4
kdenetwork-filesharing,4:25.08.1-0ubuntu1
kdepim,4:25.04.0+5.162ubuntu4
kdepim-addons:amd64,25.08.1-0ubuntu1
kdepim-runtime,4:25.08.1-0ubuntu1
kdepim-themeeditors,4:25.08.1-0ubuntu1
kdeplasma-addons-data,4:6.4.5-0ubuntu1
kdesdk,4:25.04.0+5.162ubuntu4
kdesdk-scripts,4:25.08.1-0ubuntu1
kdesdk-thumbnailers,4:25.08.1-0ubuntu1
kdetoys,4:25.04.0+5.162ubuntu4
kdeutils,4:25.04.0+5.162ubuntu4
kdewebdev,4:25.04.0+5.162ubuntu4
kdf,4:25.08.1-0ubuntu1
kdialog,4:25.08.1-0ubuntu1
kdiamond,4:25.08.1-0ubuntu1
kdoctools6,6.17.0-0ubuntu1
kdump-tools,1:1.10.7ubuntu2
keditbookmarks,25.08.1-0ubuntu1
kexec-tools,1:2.0.31-1ubuntu2
keyboard-configuration,1.237ubuntu1
keyutils,1.6.3-6ubuntu2
kf6-breeze-icon-theme,6.17.0-0ubuntu1
kfind,4:25.08.1-0ubuntu1
kfourinline,4:25.08.1-0ubuntu1
kgamma:amd64,6.4.5-0ubuntu1
kgeography,4:25.08.1-0ubuntu1
kgeography-data,4:25.08.1-0ubuntu1
kget,4:25.08.1-0ubuntu1
kget-doc,4:25.08.1-0ubuntu1
kglobalacceld,6.4.5-0ubuntu2
kgoldrunner,4:25.08.1-0ubuntu1
kgpg,4:25.08.1-0ubuntu1
khangman,4:25.08.1-0ubuntu1
khelpcenter,4:25.08.1-0ubuntu1
khelpcenter-data,4:25.08.1-0ubuntu1
kig,4:25.04.3-0ubuntu3
